epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,133.428,0.92352,1.16038,1.35568,0.72502,0.52374,0.56272,0.28247,1.51782,2.18135,2.2858,0.00133233,0.00133233,0.00133233
43,136.028,0.96882,1.19548,1.32342,0.47504,0.66472,0.6142,0.40857,0.96162,2.01344,1.66621,0.00132997,0.00132997,0.00132997
44,138.645,0.92244,1.2089,1.31758,0.7627,0.53175,0.59185,0.40232,1.09634,2.06249,1.83803,0.00132761,0.00132761,0.00132761
45,141.291,0.89194,1.0808,1.27843,0.99688,0.33333,0.48907,0.31445,1.2317,2.51562,1.9565,0.00132525,0.00132525,0.00132525
46,143.938,0.90421,1.12497,1.28527,0.33734,0.39306,0.49262,0.26732,1.33578,2.53691,2.09362,0.0013229,0.0013229,0.0013229
47,146.578,0.9077,1.09078,1.29288,0.67384,0.55871,0.37109,0.21819,1.48389,2.26477,2.18985,0.00132054,0.00132054,0.00132054
48,149.224,0.85412,1.03222,1.26253,0.25989,0.56105,0.44844,0.27295,1.2452,2.18344,2.10117,0.00131818,0.00131818,0.00131818
49,151.842,0.84181,0.99082,1.24829,0.78231,0.77302,0.84935,0.52405,1.39035,1.46751,2.24367,0.00131582,0.00131582,0.00131582
50,154.528,0.94414,1.07618,1.30099,0.71238,0.68733,0.75633,0.4223,1.47702,1.65513,2.52052,0.00131347,0.00131347,0.00131347
51,157.14,0.79092,0.95821,1.20341,0.68541,0.69621,0.74558,0.45059,1.29786,1.62917,2.09977,0.00131111,0.00131111,0.00131111
52,159.717,0.86593,0.98809,1.23952,0.54068,0.69014,0.74287,0.43154,1.27836,1.56821,2.27369,0.00130875,0.00130875,0.00130875
53,162.283,0.8208,0.98947,1.21898,0.51522,0.53551,0.62475,0.29631,1.48864,1.81276,2.63268,0.00130639,0.00130639,0.00130639
54,164.972,0.82826,0.95648,1.20831,0.51215,0.66667,0.56808,0.20544,1.60108,2.4212,2.62321,0.00130403,0.00130403,0.00130403
55,167.52,0.7845,0.90463,1.17133,0.4118,0.61062,0.48887,0.16959,1.95093,2.77672,2.86795,0.00130168,0.00130168,0.00130168
56,170.141,0.86811,1.06097,1.2929,0.88888,0.65726,0.78156,0.32602,1.77354,1.87883,2.9072,0.00129932,0.00129932,0.00129932
57,172.725,0.82756,0.94356,1.23186,0.94816,0.56581,0.64475,0.28261,1.87503,1.79358,3.3722,0.00129696,0.00129696,0.00129696
58,175.309,0.82044,0.90196,1.21107,0.83825,0.8855,0.86696,0.46825,1.42712,1.26375,2.32504,0.0012946,0.0012946,0.0012946
59,177.89,0.89096,0.93128,1.27487,0.97336,0.94678,0.96861,0.64569,1.0211,0.84013,1.85571,0.00129224,0.00129224,0.00129224
60,180.55,0.82613,0.88507,1.20445,0.91234,0.90075,0.9294,0.61389,1.16662,0.86945,1.97007,0.00128989,0.00128989,0.00128989
61,183.144,0.83366,0.87058,1.20764,0.7283,0.8873,0.96735,0.64455,1.12463,1.05187,1.97915,0.00128753,0.00128753,0.00128753
62,185.723,0.83166,0.8923,1.2338,0.70006,0.7249,0.87016,0.59007,1.11101,1.43666,2.04364,0.00128517,0.00128517,0.00128517
63,188.39,0.83936,0.90003,1.22699,0.78187,0.68973,0.7893,0.54989,1.04373,1.71181,1.90444,0.00128281,0.00128281,0.00128281
64,190.991,0.81908,0.87689,1.22912,0.91352,0.82119,0.97054,0.66459,0.96624,1.01624,1.8584,0.00128046,0.00128046,0.00128046
65,193.607,0.78498,0.85757,1.19718,0.98398,0.97262,0.97486,0.70176,0.88241,0.65794,1.85323,0.0012781,0.0012781,0.0012781
66,196.238,0.85557,0.91448,1.28214,0.9675,0.96194,0.97367,0.68466,0.88625,0.67415,1.79491,0.00127574,0.00127574,0.00127574
67,198.837,0.78622,0.82508,1.18233,0.9672,0.88034,0.92109,0.58332,1.09635,0.78655,1.98987,0.00127338,0.00127338,0.00127338
68,201.447,0.7864,0.84018,1.20633,0.66528,0.83238,0.89503,0.43205,1.63275,1.72082,2.55303,0.00127102,0.00127102,0.00127102
69,204.055,0.78301,0.88594,1.20763,0.48527,0.85362,0.82046,0.3879,1.91865,1.71958,2.83439,0.00126867,0.00126867,0.00126867
70,206.791,0.76304,0.83239,1.19611,0.87222,0.94148,0.95895,0.56399,1.32831,0.90983,2.0777,0.00126631,0.00126631,0.00126631
71,209.437,0.81595,0.84007,1.21295,0.7443,0.88034,0.89994,0.56612,1.24545,1.16949,1.94888,0.00126395,0.00126395,0.00126395
72,212.055,0.78045,0.8596,1.22554,0.52839,0.86643,0.83218,0.51152,1.07745,1.58344,1.88159,0.00126159,0.00126159,0.00126159
73,214.6,0.8133,0.86458,1.21213,0.93662,0.9301,0.97391,0.70242,0.91033,0.88208,1.7536,0.00125923,0.00125923,0.00125923
74,217.27,0.77125,0.80649,1.18482,0.87077,0.92479,0.91955,0.6677,0.81929,0.69401,1.70643,0.00125688,0.00125688,0.00125688
75,219.843,0.70009,0.78836,1.15998,0.94221,0.94701,0.96975,0.64054,0.92922,0.70879,1.82447,0.00125452,0.00125452,0.00125452
76,222.462,0.79112,0.83046,1.23469,0.95727,0.9691,0.97512,0.64506,0.90953,0.56767,1.79365,0.00125216,0.00125216,0.00125216
77,225.082,0.71212,0.74297,1.15575,0.94272,0.96602,0.97349,0.67262,0.97155,0.57036,1.88684,0.0012498,0.0012498,0.0012498
78,227.712,0.70347,0.75349,1.1449,0.71343,0.91246,0.92936,0.64412,0.99834,1.22744,1.87754,0.00124745,0.00124745,0.00124745
79,230.314,0.82327,0.85191,1.2288,0.75182,0.64334,0.72125,0.4907,0.93319,2.72437,1.83685,0.00124509,0.00124509,0.00124509
80,232.911,0.75516,0.77017,1.17744,0.75191,0.621,0.53335,0.35955,0.94755,2.88388,1.79065,0.00124273,0.00124273,0.00124273
81,235.519,0.79538,0.81239,1.25285,0.66496,0.53175,0.51477,0.31098,1.14714,2.78808,2.02704,0.00124037,0.00124037,0.00124037
82,238.089,0.73701,0.73658,1.17414,0.65827,0.79752,0.77711,0.45383,1.18601,2.25322,2.08577,0.00123801,0.00123801,0.00123801
83,240.662,0.74113,0.75325,1.19353,0.67924,0.84825,0.95746,0.68132,0.93127,1.81883,1.74117,0.00123566,0.00123566,0.00123566
84,243.317,0.67932,0.7165,1.13808,0.91376,0.97022,0.97506,0.73084,0.91329,0.65261,1.75805,0.0012333,0.0012333,0.0012333
85,245.904,0.72906,0.72056,1.18925,0.94374,0.85528,0.97214,0.69391,1.08225,0.70504,2.12478,0.00123094,0.00123094,0.00123094
86,248.556,0.75514,0.71406,1.15809,0.91187,0.75823,0.97505,0.717,0.92469,0.9026,1.79298,0.00122858,0.00122858,0.00122858
87,251.135,0.66222,0.64711,1.12706,0.66058,0.78224,0.79204,0.47693,1.1211,1.7572,1.82737,0.00122622,0.00122622,0.00122622
88,253.846,0.71378,0.74209,1.16952,0.81065,0.76439,0.78941,0.45034,1.1391,1.87277,1.82036,0.00122387,0.00122387,0.00122387
89,256.497,0.72518,0.73499,1.1564,0.84499,0.83704,0.85029,0.50081,1.10549,1.4957,1.80607,0.00122151,0.00122151,0.00122151
90,259.165,0.75565,0.80879,1.21478,0.90193,0.80755,0.91336,0.6022,0.97579,1.08569,1.79293,0.00121915,0.00121915,0.00121915
91,261.836,0.69643,0.72156,1.17367,0.93948,0.88889,0.93343,0.63889,0.85266,0.71387,1.66699,0.00121679,0.00121679,0.00121679
92,264.519,0.73607,0.71774,1.15439,0.87113,0.86667,0.90965,0.62842,0.79006,0.71065,1.64755,0.00121444,0.00121444,0.00121444
93,267.109,0.67071,0.68755,1.10849,0.82718,0.84444,0.88302,0.65385,0.7908,0.86007,1.70816,0.00121208,0.00121208,0.00121208
94,269.776,0.69232,0.68643,1.13847,0.82965,0.89948,0.94049,0.65189,0.87572,0.84201,1.81925,0.00120972,0.00120972,0.00120972
95,272.379,0.71673,0.72452,1.18231,0.94514,0.97734,0.97509,0.67065,0.90703,0.60592,1.84423,0.00120736,0.00120736,0.00120736
96,274.954,0.67566,0.6392,1.13384,0.97563,0.97522,0.97508,0.70991,0.78649,0.55882,1.59877,0.001205,0.001205,0.001205
